§1\n\n_\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Könnten wir weisen den *Weg*,
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\n_\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	Niemand kann sie bewahren.
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\n_\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	Stolz auf Reichtum und Ehre
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\n_\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	Schafft selber sich Unheil.
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\n_\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	Sein Werk vollbringen
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\n_\nAlso des Himmels *Weg*.\n	Und sich zurückziehn:
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\n_\n	Also des Himmels *Weg*.
§23\n\n_\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Zügelnd den Leibgeist, umfangend das Ein,
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\n_\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Kannst ohne Fehl du sein.
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\n_\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Versammelnd den Atem, gelangend zur Weichheit,
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\n_\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	So kannst ein Kind du sein.
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\n_\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Reinigend, läuternd den mystischen Blick,
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\n_\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Kannst ohne Mal du bleiben.
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\n_\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Schonend das Volk dein Land regierend,
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\n_\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Kannst ohne Tun du bleiben.
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\n_\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Die himmlischen Pforten geöffnet, geschlossen,
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\n_\nErleuchtend die vier Enden der Welt,\nKannst unerkannt du sein auf Erden.\n	Kannst du zum Weibchen werden,
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\n_\nKannst unerkannt du sein auf Erden.\n	Erleuchtend die vier Enden der Welt,
§23\n\nZügelnd den Leibgeist, umfangend das Ein,\nKannst ohne Fehl du sein.\nVersammelnd den Atem, gelangend zur Weichheit,\nSo kannst ein Kind du sein.\nReinigend, läuternd den mystischen Blick,\nKannst ohne Mal du bleiben.\nSchonend das Volk dein Land regierend,\nKannst ohne Tun du bleiben.\nDie himmlischen Pforten geöffnet, geschlossen,\nKannst du zum Weibchen werden,\nErleuchtend die vier Enden der Welt,\n_\n	Kannst unerkannt du sein auf Erden.
§24\n\n_\n	Erzeuge da, hege das!
§118\n\n_\nTun, doch nicht drauf baun;\nLeiten, doch nicht beherrschen –\nDies nennt man Mystische Tugend.\n	Erzeugen, doch nicht besitzen;
§118\n\nErzeugen, doch nicht besitzen;\n_\nLeiten, doch nicht beherrschen –\nDies nennt man Mystische Tugend.\n	Tun, doch nicht drauf baun;
§118\n\nErzeugen, doch nicht besitzen;\nTun, doch nicht drauf baun;\n_\nDies nennt man Mystische Tugend.\n	Leiten, doch nicht beherrschen –
§118\n\nErzeugen, doch nicht besitzen;\nTun, doch nicht drauf baun;\nLeiten, doch nicht beherrschen –\n_\n	Dies nennt man Mystische Tugend.
§25\n\n_\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Der Speichen dreimal zehn
§25\n\nDer Speichen dreimal zehn\n_\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Auf einer Nabe stehn.
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\n_\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Eben dort, wo sie nicht sind,
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\n_\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Ist des Wagens Brauchbarkeit.
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\n_\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Man knetet Ton zurecht
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\n_\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Zum Trinkgerät:
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\n_\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Eben dort, wo keiner ist,
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\n_\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Ist des Gerätes Brauchbarkeit.
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\n_\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Man meißelt Tür und Fenster aus
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\n_\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Zur Wohnung.
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\n_\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Eben dort, wo nichts ist,
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\n_\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Ist der Wohnung Brauchbarkeit.
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\n_\nErkennst du das Da-Sein als einen Gewinn,\nErkenne: Das Nicht-Sein macht brauchbar.\n	Wahrlich:
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\n_\nErkenne: Das Nicht-Sein macht brauchbar.\n	Erkennst du das Da-Sein als einen Gewinn,
§25\n\nDer Speichen dreimal zehn\nAuf einer Nabe stehn.\nEben dort, wo sie nicht sind,\nIst des Wagens Brauchbarkeit.\nMan knetet Ton zurecht\nZum Trinkgerät:\nEben dort, wo keiner ist,\nIst des Gerätes Brauchbarkeit.\nMan meißelt Tür und Fenster aus\nZur Wohnung.\nEben dort, wo nichts ist,\nIst der Wohnung Brauchbarkeit.\nWahrlich:\nErkennst du das Da-Sein als einen Gewinn,\n_\n	Erkenne: Das Nicht-Sein macht brauchbar.
§26\n\n_\nMachen das Auge der Menschen blind;\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Die Fünf Farben
§26\n\nDie Fünf Farben\n_\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Machen das Auge der Menschen blind;
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\n_\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Die Fünf Töne
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\nDie Fünf Töne\n_\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Machen das Ohr der Menschen dumpf;
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\n_\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Die Fünf Geschmäcke
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\n_\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Machen den Mund der Menschen stumpf.
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\n_\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Wagenrennen und Jagden
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\n_\nSchwer erlangbares Gut\nMacht ihren Wandel bürdevoll.\n	Machen den Sinn der Menschen toll;
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\n_\nMacht ihren Wandel bürdevoll.\n	Schwer erlangbares Gut
§26\n\nDie Fünf Farben\nMachen das Auge der Menschen blind;\nDie Fünf Töne\nMachen das Ohr der Menschen dumpf;\nDie Fünf Geschmäcke\nMachen den Mund der Menschen stumpf.\nWagenrennen und Jagden\nMachen den Sinn der Menschen toll;\nSchwer erlangbares Gut\n_\n	Macht ihren Wandel bürdevoll.
§27\n\n_\nTut für den Bauch,\nNicht für das Aug.\n	Deshalb, der Heilige Mensch
§27\n\nDeshalb, der Heilige Mensch\n_\nNicht für das Aug.\n	Tut für den Bauch,
§27\n\nDeshalb, der Heilige Mensch\nTut für den Bauch,\n_\n	Nicht für das Aug.
§28\n\n_\nVon jenem laß! Dieses erfaß!\n	Wahrlich:
§28\n\nWahrlich:\n_\n	Von jenem laß! Dieses erfaß!
§29\n\n_\nEhrung ist ein großes Leiden wie Dein Leib.«\nWas heißt:\n»Gunst und Schande sind gleichsam ein Stachel«\nGunst ist etwas [Hohes, Schande etwas] Niedriges.\nSie zu erlangen, ist gleichsam ein Stachel;\nSie zu verlieren, ist gleichsam ein Stachel.\nDas heißt:\n»Gunst und Schande sind gleichsam ein Stachel.«\nWas heißt:\n»Ehrung ist ein großes Leiden wie Dein Leib?«\nDaß Wir große Leiden haben,\nIst, weil Wir einen Leib haben.\nWären Wir ohne Leib,\nWas hätten Wir für Leid?\n	»Gunst und Schande sind gleichsam ein Stachel.
§29\n\n»Gunst und Schande sind gleichsam ein Stachel.\n_\nWas heißt:\n»Gunst und Schande sind gleichsam ein Stachel«\nGunst ist etwas [Hohes, Schande etwas] Niedriges.\nSie zu erlangen, ist gleichsam ein Stachel;\nSie zu verlieren, ist gleichsam ein Stachel.\nDas heißt:\n»Gunst und Schande sind gleichsam ein Stachel.«\nWas heißt:\n»Ehrung ist ein großes Leiden wie Dein Leib?«\nDaß Wir große Leiden haben,\nIst, weil Wir einen Leib haben.\nWären Wir ohne Leib,\nWas hätten Wir für Leid?\n	Ehrung ist ein großes Leiden wie Dein Leib.«
§29\n\n»Gunst und Schande sind gleichsam ein Stachel.\nEhrung ist ein großes Leiden wie Dein Leib.«\n_\n»Gunst und Schande sind gleichsam ein Stachel«\nGunst ist etwas [Hohes, Schande etwas] Niedriges.\nSie zu erlangen, ist gleichsam ein Stachel;\nSie zu verlieren, ist gleichsam ein Stachel.\nDas heißt:\n»Gunst und Schande sind gleichsam ein Stachel.«\nWas heißt:\n»Ehrung ist ein großes Leiden wie Dein Leib?«\nDaß Wir große Leiden haben,\nIst, weil Wir einen Leib haben.\nWären Wir ohne Leib,\nWas hätten Wir für Leid?\n	Was heißt:
§29\n\n»Gunst und Schande sind gleichsam ein Stachel.\nEhrung ist ein großes Leiden wie Dein Leib.«\nWas heißt:\n_\nGunst ist etwas [Hohes, Schande etwas] Niedriges.\nSie zu erlangen, ist gleichsam ein Stachel;\nSie zu verlieren, ist gleichsam ein Stachel.\nDas heißt:\n»Gunst und Schande sind gleichsam ein Stachel.«\nWas heißt:\n»Ehrung ist ein großes Leiden wie Dein Leib?«\nDaß Wir große Leiden haben,\nIst, weil Wir einen Leib haben.\nWären Wir ohne Leib,\nWas hätten Wir für Leid?\n	»Gunst und Schande sind gleichsam ein Stachel«
